#代码	名称	总手	现手	金额	所属行业	市净率	总股本	总市值
000836	鑫茂科技	7.42万	481	4662万	 电子信息	2.36	2.92亿	18.3亿
002298	鑫龙电器	75.2万	2213	6.84亿	 输配电气	2.97	4.14亿	37.7亿
600255	鑫科材料	1.37万	0	994万	 有色金属	2.25	6.25亿	45.7亿
002019	鑫富药业	2.12万	174	5453万	 医药行业	11.49	2.20亿	57.0亿
601101	昊华能源	6.96万	67	4072万	 煤炭采选	1.02	12.0亿	70.1亿
002474	榕基软件	8.54万	490	1.23亿	 电子信息	3.28	3.11亿	44.5亿
002346	柘中建设	2.15万	675	3315万	 水泥建材	2.19	1.35亿	20.9亿
300317	珈伟股份	1.01万	86	1354万	 电子元件	3.25	1.40亿	18.7亿
002502	骅威股份	2.82万	522	8279万	 工艺商品	4.64	1.41亿	41.4亿
002083	孚日股份	19.6万	2433	9568万	 纺织服装	1.60	9.08亿	43.9亿
600323	瀚蓝环境	7.78万	0	9873万	 公用事业	3.00	5.79亿	71.8亿
002225	濮耐股份	9.18万	1472	5353万	 材料行业	2.48	7.93亿	45.3亿
002098	浔兴股份	3.28万	357	3213万	 化纤行业	2.35	1.55亿	14.8亿
600702	沱牌舍得	19.4万	1000	2.18亿	 酿酒行业	1.73	3.37亿	38.7亿
000568	泸州老窖	15.5万	3638	2.66亿	 酿酒行业	2.45	14.0亿	244亿
000912	泸 天 化	1.89万	405	972万	 化工行业	1.35	5.85亿	30.2亿
601388	怡球资源	2.64万	10	2602万	 有色金属	1.81	4.10亿	40.4亿
002183	怡 亚 通	10.1万	1521	8661万	 国际贸易	3.76	9.86亿	83.6亿
002069	獐 子 岛	2.36万	130	3082万	 农牧饲渔	3.86	7.11亿	92.2亿
600131	岷江水电	2.92万	30	1143万	 电力行业	2.81	5.04亿	19.7亿
300087	荃银高科	2.66万	657	3149万	 农牧饲渔	2.25	1.06亿	12.5亿
600188	兖州煤业	10.3万	0	6771万	 煤炭采选	0.81	49.2亿	323亿
300181	佐力药业	23.4万	6971	3.18亿	 医药行业	6.28	3.17亿	44.0亿
600770	综艺股份	18.9万	0	2.18亿	 综合行业	4.39	11.0亿	126亿
001696	宗申动力	29.1万	1023	1.55亿	 交运设备	2.09	11.5亿	60.2亿
002431	棕榈园林	2.97万	682	5386万	 木业家具	3.50	4.61亿	83.7亿
